EmplID,Gender,Primary Nat,Other Nationality,English Level ( 6 is fluent),Last Job Domain Description,Last Job Title 1,Section,Study Group
785295,Male,Emirati,,5,Business Dev./Corporate Plan.,Associate,2,1
851946,Male,Indian,,5,Finance,Senior Global Trader,2,1
847539,Male,Norwegian,,5,General Management,Director,2,1
857380,Male,Thai,,6,Finance,Associate,2,1
852446,Female,American,,6,Consulting,Senior consultant 2,2,2
852387,Male,Brazilian,,5,Other,Associate,2,2
852249,Male,Filipino,American,6,Project Management,Project Senior Analyst,2,2
851431,Male,Indian,,5,General Management,Fleet Contract Manager,2,2
852033,Male,Pakistani,,5,Consulting,Associate,2,2
857655,Female,Turkish,,5,Consulting,Business and System Integration Consultant,2,2
847409,Female,American,,6,Other,Community Economic Development Advisor,2,3
852078,Male,British,,6,Business Dev./Corporate Plan.,Consultant,2,3
847196,Female,French,American,5,Project Management,Senior Engineer,2,3
847194,Male,Indian,,5,Human Resource Management,Global HRIS Manager,2,3
847435,Male,Peruvian,American,5,Consulting,Sr. Analyst,2,3
847491,Male,Turkish,,5,Consulting,Business Analyst,2,3
852229,Female,American,,6,Project Management,Project Coordinator,2,4
851388,Male,British,,6,Finance,Associate,2,4
857591,Male,French,,5,Business Dev./Corporate Plan.,Manager Business Development,2,4
851975,Male,Indian,,5,Project Management,Senior Projects Coordinator,2,4
848080,Male,Polish,American,5,Finance,Associate,2,4
847554,Male,Ukrainian,,5,Finance,Manager,2,4
857689,Female,American,,5,Research & Development,Staff Research Associate II,2,5
847607,Female,Burmese,,5,Communication / PR,Corporate Affairs Executive (Team Leader),2,5
857321,Male,French,Egyptian,5,Engineering,Software Development Team Leader,2,5
847225,Male,Irish,British,5,Finance,Senior Cost Controller,2,5
852132,Male,Portuguese,,5,Consulting,Senior Business Analyst,2,5
852144,Male,American,,6,Consulting,Consultant,2,6
857384,Female,Canadian,Belarusian,5,Finance,Manager - Direct Private Equity,2,6
847405,Male,French,,5,General Management,Founder & CEO,2,6
846720,Male,Italian,,5,Accounting & Control,Planning and Control coordinator,2,6
846935,Male,Portuguese,,5,Project Management,Construction Project Manager,2,6
852286,Male,American,,6,Consulting,Project Manager,2,7
847257,Male,Canadian,French,5,Accounting & Control,Senior,2,7
856956,Male,French,,5,Research & Development,Associate professor,2,7
851518,Male,Italian,,5,Engineering,Project Engineer,2,7
843597,Female,Russian,,5,Legal,"Project Manager, M&A Legal",2,7
857710,Male,American,Hungarian,6,Finance,Financial Rotation Program (FP&A),2,8
833755,Male,Canadian,,5,Consulting,Assistant manager,2,8
847400,Male,Georgian,,5,Finance,Principal Banker,2,8
846761,Male,Japanese,,5,Project Management,Licensing Engineer,2,8
847945,Female,Russian,Belgian,5,Public Relations,Press & PR Manager,2,8
857675,Male,American,,5,Manufacturing&Prod./Operations,Special Opeations Manager,2,9
852315,Male,Canadian,,5,Finance,Associate,2,9
857681,Male,German,French,5,Consulting,Consultant,2,9
857537,Female,Kazakhstani,,5,Finance,Internal Control Manager,2,9
851517,Male,Serbian,,5,Consulting,Senior Consultant,2,9
856807,Male,American,,6,Product Development,"Director, Product Management",2,10
852194,Female,Chinese,,5,Accounting & Control,Assistant Corporate Controller,2,10
857679,Male,Greek,Cypriot,5,Consulting,Delivery Specialist,2,10
852143,Male,Kuwaiti,,5,General Management,Founding Partner,2,10
852217,Male,Singaporean,,5,Finance,Investment Analyst,2,10
847522,Male,Australian,German,6,Business Dev./Corporate Plan.,Commercial Adviser,2,11
852500,Female,Chinese,,5,Product Development,Senior Manager/Team Leader,2,11
847928,Female,Indian,,5,Consulting,Associate Consultant,2,11
857684,Male,Lebanese,Canadian,5,Consulting,Senior Consultant,2,11
857653,Male,South African,,6,Consulting,Consultant,2,11
851871,Male,Australian,,6,Legal,Senior Associate,2,12
852079,Male,Chinese,,5,Business Dev./Corporate Plan.,Project Manager,2,12
851645,Female,Indian,,5,Finance,Third-Year Analyst (Senior Analyst),2,12
847275,Male,Lebanese,Canadian,5,Sales & Marketing,Account Executive-National Accounts Sales East,2,12
852129,Male,Spanish,,5,Consulting,Senior Associate Consultant,2,12
847558,Female,Belgian,,5,Consulting,Business Analyst,2,13
847602,Male,Chinese,,5,Engineering,Sr. Applicatoin Engineer Lead,2,13
792074,Female,Indian,,5,Logistics / Purchasing,Procurement Manager,2,13
847514,Male,Moroccan,French,5,Consulting,Manager,2,13
851630,Male,Spanish,,5,Finance,Associate - Investment Banking,2,13
847605,Male,Belgian,,5,Manufacturing&Prod./Operations,Director of Manufacturing Operations,2,14
852312,Male,Czech,,5,Finance,Risk Finance Analyst,2,14
847808,Male,Indian,,5,Business Dev./Corporate Plan.,Strategic Business Development Manager,2,14
852016,Female,Nigerian,,6,Consulting,SENIOR ASSOCIATE CONSULTANT,2,14
855724,Female,Swiss,Italian,5,Business Dev./Corporate Plan.,CEO,2,14
847212,Female,Brazilian,,5,Consulting,Consultant,2,15
850841,Male,Dutch,,5,Project Management,Project Manager,2,15
851855,Male,Indian,,5,Consulting,Senior Business Analyst,2,15
803523,Male,Nigerian,,5,Other,Head Local and Foreign Services,2,15
857385,Male,Swiss,French,5,Finance,Vice-President,2,15
852292,Female,American,Slovak,5,Consulting,Owner & Editor,3,1
852141,Male,Brazilian,,5,Finance,Senior Associate,3,1
857570,Male,Filipino,American,6,Consulting,Senior Consultant,3,1
852495,Male,Indian,,5,General Management,Associate General Manager,3,1
843726,Female,Pakistani,,5,Sales & Marketing,"Brand Manager, Beauty, Grooming & Batteries",3,1
847560,Male,Tunisian,French,5,Finance,Finance Manager,3,1
852299,Female,American,Pakistani,5,Finance,Assistant Vice President,3,2
847228,Male,Brazilian,,5,Project Management,PROJECT MANAGER,3,2
852249,Male,Filipino,American,6,Project Management,Project Senior Analyst,3,2
852566,Male,Indian,,6,General Management,Managing Director,3,2
840358,Male,Pakistani,,5,General Management,Manager,3,2
847230,Female,Turkish,,5,Project Management,Retail Development Project Manager,3,2
851632,Female,American,,6,Other,Founder & Director,3,3
843624,Male,British,Canadian,6,Business Dev./Corporate Plan.,Senior Business Development Analyst,3,3
847816,Male,French,,5,Business Dev./Corporate Plan.,Business development manager for Latin America,3,3
857715,Male,Indian,,5,Legal,Partner,3,3
847437,Male,Peruvian,,5,Other,Merchant Level II,3,3
812485,Male,Turkish,,5,General Management,Co-founder and CEO,3,3
852300,Female,American,,6,Project Management,Supply Chain Analyst,3,4
847243,Male,British,,6,General Management,Managing Director,3,4
847188,Male,French,,5,Consulting,Associate,3,4
843622,Male,Iranian,British,5,Project Management,Project Manager,3,4
834997,Female,Portuguese,Indian,6,Business Dev./Corporate Plan.,Organisation Development Consultant,3,4
847408,Female,Uzbek,American,5,Finance,Lead Equity Research Analyst,3,4
847953,Male,American,,6,Art / Creative,Co-Founder / Consultant Liaison,3,5
844664,Male,Cameroonian,French,5,Product Development,Consultant Life Product Development,3,5
852471,Male,French,,5,Finance,Associate,3,5
847488,Male,Israeli,Canadian,5,Engineering,Software Engineer,3,5
852132,Male,Portuguese,,5,Consulting,Senior Business Analyst,3,5
852296,Male,American,,6,Consulting,Manager,3,6
833805,Female,Canadian,,5,Logistics / Purchasing,Associate,3,6
857669,Male,French,,5,Other,Founder,3,6
846849,Male,Italian,,5,Consulting,Associate,3,6
852251,Male,Portuguese,,5,Project Management,Project Manager,3,6
847527,Male,American,Indian,6,Consulting,Senior,3,7
852310,Male,Canadian,,6,Business Dev./Corporate Plan.,Business Development Manager - Central Canada,3,7
852394,Male,French,Indian,5,Sales & Marketing,"Deputy Head of Sales, Europe",3,7
857042,Female,Japanese,,5,Project Management,CSR staff,3,7
847944,Female,Russian,,5,Legal,Senior Lawyer,3,7
851530,Male,American,,6,Finance,Manager,3,8
852002,Male,Canadian,Lebanese,5,Consulting,Lean Transformation Manager,3,8
857508,Female,German,,5,Finance,Private Equity Associate,3,8
835273,Male,Japanese,,5,Project Management,Project manager,3,8
846860,Male,Russian,,5,Human Resource Management,Head of Recruitment & Associate Partner,3,8
852288,Male,American,British,6,Other,Vice President,3,9
852138,Male,Chilean,,5,Consulting,Consultant,3,9
846423,Male,German,,5,Finance,Director Equity & Debt Capital Markets,3,9
852503,Female,Korean,,5,General Management,CEO/Marketing Manager,3,9
851186,Female,Singaporean,,5,Other,Analyst,3,9
847451,Male,American,,6,Sales & Marketing,Asia Pacific Business Development Managaer,3,10
852298,Female,Chinese,,5,Business Dev./Corporate Plan.,Dealer Business Manager,3,10
763799,Male,Greek,,5,Consulting,General manager,3,10
828444,Male,Kuwaiti,,5,Other,Senior Investment Analyst,3,10
847502,Male,Singaporean,,5,Legal,Assistant Registrar of Titles,3,10
852025,Male,Australian,Irish,6,Engineering,Engineering Consultant,3,11
847566,Female,Chinese,,5,Project Management,"Innovation Manager, Project Manager",3,11
851811,Female,Indian,,5,Engineering,"Health, Safety and Environment Engineer",3,11
851990,Male,Lebanese,,5,Engineering,Project Technical Coordinator,3,11
848330,Female,Spanish,,5,Logistics / Purchasing,Customer Team Logistics Leader,3,11
852777,Male,Australian,,6,Project Management,Project Manager,3,12
847495,Male,Chinese,,5,Consulting,Associate,3,12
857704,Female,Indian,,5,General Management,Executive Director,3,12
847486,Male,Mexican,,5,Finance,Finance Department Manager,3,12
852146,Male,Spanish,,5,Consulting,Senior Associate Consultant,3,12
847202,Female,Belgian,French,5,Consulting,Business Analyst,3,13
851878,Male,Chinese,,5,Research & Development,Laboratory Manager,3,13
840434,Female,Indian,,5,Other,Senior Analyst,3,13
851185,Female,New Zealander,,5,Finance,Senior Product Analyst,3,13
851995,Male,Spanish,,5,Finance,Senior associate,3,13
840163,Male,Belgian,,5,Project Management,Project Manager,3,14
857361,Male,Dutch,,5,Consulting,Consultant,3,14
857261,Male,Indian,,5,Consulting,Experienced Associate,3,14
856349,Female,Nigerian,,6,Customer Service,Manager,3,14
847562,Male,Swiss,German,5,Consulting,Consultant,3,14
847923,Male,Brazilian,Italian,5,Business Dev./Corporate Plan.,Strategic Planner,3,15
857286,Male,Egyptian,German,5,Consulting,Senior Consultant,3,15
847197,Male,Indian,,5,Consulting,Senior Consultant,3,15
847089,Female,Norwegian,,5,Consulting,Manager,3,15
852022,Female,Thai,,5,Accounting & Control,Senior accountant 2,3,15
