EmplID,Gender,Birthdate,Primary Nat,Other Nationality,English Level ( 6 is fluent),Last Job Domain Description,Last Job Title 1
126,Male,10/10/84,Brazilian,NA,5,Finance,Principal Banker
127,Female,12/10/84,Czech,NA,5,Finance,Private Equity Associate
128,Male,16/6/1983,Brazilian,NA,5,Finance,Private Equity Associate
129,Male,25/6/1983,Spanish,NA,5,Finance,Risk Finance Analyst
130,Male,20/8/1984,Irish,American,5,Finance,Senior Associate
131,Male,2/2/84,Mexican,NA,5,Finance,Senior associate
132,Male,25/1/1983,Indian,NA,5,Finance,Senior Cost Controller
133,Male,28/5/1985,New Zealander,Belarusian,5,Finance,Senior Financial Analyst
134,Male,19/3/1984,Indian,NA,5,Finance,Senior Global Trader
135,Female,16/5/1985,Belgian,NA,5,Finance,Senior Product Analyst
136,Female,18/12/1987,Kazakhstani,NA,5,Finance,Third-Year Analyst (Senior Analyst)
137,Male,25/3/1986,Indian,NA,5,Finance,Vice President - Trader
138,Male,5/7/81,Singaporean,French,5,Finance,Vice-President
139,Male,9/3/85,Indian,NA,5,General Management,Associate General Manager
140,Female,9/9/85,French,NA,5,General Management,CEO/Marketing Manager
141,Male,1/4/86,Kuwaiti,NA,5,General Management,Co-founder and CEO
142,Male,1/4/86,Pakistani,NA,5,General Management,Co-founder and CEO
143,Male,24/3/1987,Pakistani,NA,5,General Management,Director
144,Female,7/2/79,British,NA,5,General Management,Executive Director
145,Male,27/2/1986,Indian,NA,5,General Management,Executive Director
146,Male,3/1/83,American,NA,5,General Management,Fleet Contract Manager
147,Male,26/8/1983,Indian,NA,5,General Management,Founder & CEO
148,Male,24/8/1986,Indian,NA,5,General Management,Founding Partner
149,Male,17/9/1979,Russian,NA,5,General Management,Manager
150,Male,17/9/1979,Indian,NA,5,General Management,Manager
151,Male,20/6/1981,Singaporean,NA,6,General Management,Managing Director
152,Male,5/5/82,French,NA,6,General Management,Managing Director
153,Male,21/1/1984,Swiss,NA,6,General Management,"Purchasing, Sales, and Quality Manager"
154,Male,15/4/1987,Indian,NA,5,General Management,Senior Manager
155,Male,17/7/1984,Korean,NA,5,Human Resource Management,Global HRIS Manager
156,Male,1/9/86,Turkish,NA,5,Human Resource Management,Head of Recruitment & Associate Partner
157,Female,10/6/84,Turkish,NA,5,Human Resource Management,VP HR
158,Male,25/8/1983,Norwegian,NA,5,Legal,Assistant Registrar of Titles
159,Female,27/1/1983,Indian,NA,5,Legal,Associate Attorney
160,Male,8/1/86,Indian,NA,6,Legal,Lawyer
161,Male,16/4/1980,Indian,NA,5,Legal,Partner
162,Female,29/6/1986,Russian,NA,5,Legal,"Project Manager, M&A Legal"
163,Male,8/1/86,Australian,NA,6,Legal,Senior Associate
164,Female,17/12/1982,Russian,NA,5,Legal,Senior Lawyer
165,Female,15/2/1989,Canadian,NA,5,Logistics / Purchasing,Associate
166,Female,29/6/1987,Spanish,NA,5,Logistics / Purchasing,Customer Team Logistics Leader
167,Female,3/7/85,Indian,NA,5,Logistics / Purchasing,Procurement Manager
168,Male,27/6/1986,Brazilian,Portuguese,5,Logistics / Purchasing,Strategic Sourcing Coordinator
169,Male,27/5/1986,Belgian,NA,5,Manufacturing&Prod./Operations,Director of Manufacturing Operations
170,Male,12/10/83,Filipino,Spanish,5,Manufacturing&Prod./Operations,Economic Model Coordinator
171,Female,9/12/86,Jordanian,American,5,Manufacturing&Prod./Operations,Head of Operations
172,Male,14/3/1981,American,NA,5,Manufacturing&Prod./Operations,Special Opeations Manager
173,Female,21/11/1985,Singaporean,NA,5,Other,Analyst
174,Male,24/4/1985,British,NA,6,Other,Associate
175,Male,26/12/1982,Brazilian,NA,5,Other,Associate
176,Male,13/10/1983,Egyptian,NA,5,Other,Cards Business Analytics Unit Head
177,Female,18/11/1983,American,NA,6,Other,Community Economic Development Advisor
178,Male,20/11/1979,French,NA,5,Other,Founder
179,Female,8/12/79,American,NA,6,Other,Founder & Director
180,Male,18/8/1987,Nigerian,NA,5,Other,Head Local and Foreign Services
181,Male,17/4/1986,Swedish,NA,5,Other,Investment Analyst
182,Female,22/8/1981,American,Pakistani,6,Other,Market Manager Associate
183,Male,1/8/85,Peruvian,NA,5,Other,Merchant Level II
184,Female,19/11/1987,Indian,NA,5,Other,Senior Analyst
185,Female,21/5/1988,Indian,NA,5,Other,Senior Auditor
186,Male,13/7/1985,Kuwaiti,NA,5,Other,Senior Investment Analyst
187,Male,27/6/1982,American,British,6,Other,Vice President
188,Male,15/6/1984,Cameroonian,French,5,Product Development,Consultant Life Product Development
189,Male,23/6/1980,American,NA,6,Product Development,"Director, Product Management"
190,Male,21/9/1981,American,NA,6,Product Development,"Director, Product Management"
191,Female,20/3/1981,Chinese,NA,5,Product Development,International Marketing Project Manager
192,Female,24/2/1982,Portuguese,NA,5,Product Development,Officer Senior of Products
193,Male,3/1/82,Peruvian,NA,5,Product Development,Product Manager
194,Female,19/1/1982,French,NA,5,Product Development,Senior Manager/Team Leader
195,Male,15/8/1980,Indian,NA,5,Product Development,Senior Solution Architect
196,Male,14/7/1985,American,NA,5,Project Management,Construction Project Manager
197,Female,26/8/1979,American,NA,5,Project Management,CSR staff
198,Male,27/8/1985,Russian,NA,5,Project Management,Digital Project Manager and Digital Consultant
199,Male,2/10/82,Russian,NA,5,Project Management,Head of Budget and Cost Control
200,Female,13/1/1982,French,NA,5,Project Management,"Innovation Manager, Project Manager"
201,Male,10/12/82,Chinese,NA,5,Project Management,Licensing Engineer
202,Female,22/7/1988,Australian,NA,5,Project Management,Planning and Cost Control Engineer
203,Female,30/9/1985,American,NA,6,Project Management,Project Coordinator
204,Male,5/9/84,Lebanese,NA,5,Project Management,Project Director
205,Male,22/5/1983,American,NA,5,Project Management,Project Manager
206,Male,17/12/1989,Norwegian,British,5,Project Management,Project Manager
207,Male,11/6/83,Pakistani,NA,5,Project Management,PROJECT MANAGER
208,Male,8/1/86,Pakistani,NA,5,Project Management,Project Manager
209,Male,16/4/1980,Canadian,NA,5,Project Management,Project manager
210,Male,29/6/1986,Chinese,NA,6,Project Management,Project Manager
211,Male,8/1/86,French,NA,5,Project Management,Project Manager
212,Male,3/3/86,Turkish,Italian,5,Project Management,Project Manager
213,Female,27/7/1984,French,NA,5,Project Management,Project Manager
214,Male,30/6/1983,Chinese,NA,5,Project Management,"Project Manager, Supply Chain Engineering"
215,Male,1/8/84,Indian,American,6,Project Management,Project Senior Analyst
216,Male,1/8/84,Portuguese,American,6,Project Management,Project Senior Analyst
217,Female,28/3/1986,Japanese,NA,5,Project Management,Retail Development Project Manager
218,Female,7/8/86,French,American,5,Project Management,Senior Engineer
219,Male,26/8/1984,Lebanese,NA,5,Project Management,Senior Projects Coordinator
220,Female,31/1/1987,Chinese,NA,6,Project Management,Supply Chain Analyst
221,Female,15/10/1987,Japanese,NA,6,Project Management,U.S. and World Care Coordinator
222,Female,10/6/89,Thai,Belgian,5,Public Relations,Press & PR Manager
223,Female,10/6/89,American,Belgian,5,Public Relations,Press & PR Manager
224,Male,30/11/1979,Russian,NA,5,Research & Development,Associate professor
225,Male,25/10/1979,Belgian,NA,5,Research & Development,Laboratory Manager
226,Female,16/11/1983,Iranian,NA,6,Research & Development,Program Quality Lead
227,Female,24/11/1981,Brazilian,NA,5,Research & Development,Staff Research Associate II
228,Male,12/2/87,Dutch,Canadian,5,Sales & Marketing,Account Executive-National Accounts Sales East
229,Male,16/5/1981,Japanese,NA,6,Sales & Marketing,Asia Pacific Business Development Managaer
230,Female,28/9/1981,Australian,NA,5,Sales & Marketing,Brand and Customer manager Cardiovascular Disease
231,Female,30/6/1979,Portuguese,NA,5,Sales & Marketing,"Brand Manager, Beauty, Grooming & Batteries"
232,Female,30/6/1979,Brazilian,NA,5,Sales & Marketing,"Brand Manager, Beauty, Grooming & Batteries"
233,Female,25/10/1986,Japanese,NA,6,Sales & Marketing,Client Manager
234,Male,28/3/1983,German,NA,5,Sales & Marketing,Customer Office Manager
235,Male,21/9/1986,Filipino,Indian,5,Sales & Marketing,"Deputy Head of Sales, Europe"
236,Female,17/5/1989,Filipino,NA,5,Sales & Marketing,Digital Customer Experience Assistant Manager
237,Male,18/3/1982,Turkish,NA,5,Sales & Marketing,Product Line Manager
